SA2_CODE21,SA2_NAME21,burden_tier_rel,burden_tier_abs,shap_feature,shap_value,feature_label,abs_shap_value,tier_order_rel,tier_order_abs
403041085,Morphett Vale - West,Moderate,Low,shap_irsd_score,0.0151161479374576,IRSD (Disadvantage),0.0151161479374576,3,4
403041086,Reynella,Moderate,Low,shap_irsd_score,-0.0029533452229703,IRSD (Disadvantage),0.0029533452229703,3,4
403041088,Willunga,Low,Low,shap_irsd_score,-0.0633249825293419,IRSD (Disadvantage),0.0633249825293419,4,4
403041089,Woodcroft,Moderate,Low,shap_irsd_score,-0.0376892620169277,IRSD (Disadvantage),0.0376892620169277,3,4
403041177,Seaford - Seaford Meadows,Moderate,Low,shap_irsd_score,0.0101090650996207,IRSD (Disadvantage),0.0101090650996207,3,4
403041178,Seaford Rise - Moana,Moderate,Low,shap_irsd_score,-0.0128953065811781,IRSD (Disadvantage),0.0128953065811781,3,4
404011090,Beverley,Moderate,Low,shap_irsd_score,-0.0074028618438019,IRSD (Disadvantage),0.0074028618438019,3,4
404011091,Flinders Park,Moderate,Low,shap_irsd_score,-0.0085353115828876,IRSD (Disadvantage),0.0085353115828876,3,4
404011092,Henley Beach,Low,Low,shap_irsd_score,-0.0481486077111411,IRSD (Disadvantage),0.0481486077111411,4,4
404011093,Hindmarsh - Brompton,Moderate,Low,shap_irsd_score,0.0046665783111675,IRSD (Disadvantage),0.0046665783111675,3,4
404011094,Royal Park - Hendon - Albert Park,Moderate,Low,shap_irsd_score,0.0093113309565592,IRSD (Disadvantage),0.0093113309565592,3,4
404011095,Seaton - Grange,Moderate,Low,shap_irsd_score,0.0123579666573173,IRSD (Disadvantage),0.0123579666573173,3,4
404011096,West Lakes,Moderate,Low,shap_irsd_score,-0.0132051740776431,IRSD (Disadvantage),0.0132051740776431,3,4
404011097,Woodville - Cheltenham,Moderate,Low,shap_irsd_score,0.0116219897867666,IRSD (Disadvantage),0.0116219897867666,3,4
