"SA2_CODE21","SA2_NAME21","SA3_NAME21","SA4_NAME21","population","AREASQKM21","provider_type","provider_note","is_provider_confirmed","is_metro","irsd_score","irsd_decile","irsad_score","irsad_decile","ier_score","ier_decile","ieo_score","ieo_decile","median_hhd_inc_weekly_2021","median_hhd_inc_annual_2021","median_hhd_inc_annual_adj","bill_usage_only","bill_usage_supply","bill_owner_metro","bill_owner_country","bill_owner_blended","water_cost_burden_ratio","burden_ratio_renter","burden_ratio_owner_metro","burden_ratio_owner_country","burden_tier_abs","burden_tier_rel","estimated_hardship_need","hardship_priority_score","top_critical_driver","top_critical_driver_shap","water_cost_burden_pct","burden_ratio_owner_metro_pct","burden_ratio_owner_country_pct","burden_ratio_renter_pct","hardship_priority_pct","tier_order_rel","tier_order_abs","hardship_priority_flag"
"402031036","Enfield - Blair Athol","Port Adelaide - East","Adelaide - North","25578.0","15.1765","SA Water","","0","1","904.0","2.0","924.0","2.0","902.0","1.0","966.0","5.0","1428","74256","84841.0","472.63","787.03","1160.23","1343.83","1160.23","0.013675","0.009277","0.013675","0.015839","Low","Moderate","35.5","1.35","Population","-0.1238086901221615","1.37","1.37","1.58","0.93","135.0","3","4","0"
"402031038","Windsor Gardens","Port Adelaide - East","Adelaide - North","22587.0","8.4298","SA Water","","0","1","998.0","5.0","992.0","5.0","953.0","3.0","1025.0","7.0","1595","82940","94762.0","472.63","787.03","1160.23","1343.83","1160.23","0.012244","0.008305","0.012244","0.014181","Low","Moderate","31.3","1.1196","IEO (Education/Occ)","-0.0807790346230873","1.22","1.22","1.42","0.83","111.96","3","4","0"
"402031175","Northgate - Northfield","Port Adelaide - East","Adelaide - North","18188.0","6.5508","SA Water","","0","1","1010.0","5.0","1007.0","6.0","983.0","4.0","1035.0","7.0","1759","91468","104506.0","472.63","787.03","1160.23","1343.83","1160.23","0.011102","0.007531","0.011102","0.012859","Low","Low","6.3","0.4948","IEO (Education/Occ)","-0.0782472213686006","1.11","1.11","1.29","0.75","49.48","4","4","0"
"402031176","Valley View - Gilles Plains","Port Adelaide - East","Adelaide - North","10504.0","4.683","SA Water","","0","1","978.0","4.0","957.0","4.0","967.0","4.0","964.0","5.0","1469","76388","87277.0","472.63","787.03","1160.23","1343.83","1160.23","0.013294","0.009018","0.013294","0.015397","Low","Moderate","14.6","1.2886","Area (km²)","-0.0663970610479701","1.33","1.33","1.54","0.9","128.86","3","4","0"
"402041039","Dry Creek - North","Salisbury","Adelaide - North","","38.5669","SA Water","","0","1","","","","","","","","","0","0","","472.63","787.03","1160.23","1343.83","1160.23","","","","","Unknown","Unknown","","","","","","","","","","5","5","0"
"402041040","Ingle Farm","Salisbury","Adelaide - North","15681.0","7.4263","SA Water","","0","1","954.0","3.0","929.0","3.0","959.0","3.0","923.0","3.0","1344","69888","79850.0","472.63","787.03","1160.23","1343.83","1160.23","0.01453","0.009856","0.01453","0.016829","Low","Moderate","21.8","1.4876","Area (km²)","-0.1153447155771577","1.45","1.45","1.68","0.99","148.76","3","4","0"
"402041041","Para Hills","Salisbury","Adelaide - North","15094.0","10.173","SA Water","","0","1","959.0","3.0","931.0","3.0","983.0","4.0","919.0","3.0","1444","75088","85791.0","472.63","787.03","1160.23","1343.83","1160.23","0.013524","0.009174","0.013524","0.015664","Low","Moderate","20.9","1.3257","Population","-0.062060361686364","1.35","1.35","1.57","0.92","132.57","3","4","0"
"402041042","Parafield","Salisbury","Adelaide - North","","4.6289","SA Water","","0","1","","","","","","","","","0","0","","472.63","787.03","1160.23","1343.83","1160.23","","","","","Unknown","Unknown","","","","","","","","","","5","5","0"
"402041043","Parafield Gardens","Salisbury","Adelaide - North","18467.0","7.0272","SA Water","","0","1","880.0","1.0","884.0","1.0","946.0","3.0","891.0","2.0","1384","71968","82226.0","472.63","787.03","1160.23","1343.83","1160.23","0.01411","0.009572","0.01411","0.016343","Low","Moderate","25.6","1.42","Population","-0.1554412492379205","1.41","1.41","1.63","0.96","142.0","3","4","0"
"402041044","Paralowie","Salisbury","Adelaide - North","17816.0","8.3213","SA Water","","0","1","888.0","1.0","878.0","1.0","959.0","3.0","867.0","1.0","1458","75816","86623.0","472.63","787.03","1160.23","1343.83","1160.23","0.013394","0.009086","0.013394","0.015514","Low","Moderate","24.7","1.3047","Population","-0.174179695251165","1.34","1.34","1.55","0.91","130.47","3","4","0"
"402041046","Salisbury","Salisbury","Adelaide - North","18594.0","10.7696","SA Water","","0","1","803.0","1.0","827.0","1.0","876.0","1.0","851.0","1.0","1071","55692","63630.0","472.63","787.03","1160.23","1343.83","1160.23","0.018234","0.012369","0.018234","0.021119","Low","High","51.6","2.1969","Population","-0.2146354736711529","1.82","1.82","2.11","1.24","219.69","2","4","1"
"402041047","Salisbury East","Salisbury","Adelaide - North","18454.0","14.8505","SA Water","","0","1","940.0","2.0","916.0","2.0","973.0","4.0","905.0","2.0","1339","69628","79553.0","472.63","787.03","1160.23","1343.83","1160.23","0.014584","0.009893","0.014584","0.016892","Low","Moderate","25.6","1.4963","Population","-0.142268251418914","1.46","1.46","1.69","0.99","149.63","3","4","0"
"402041048","Salisbury North","Salisbury","Adelaide - North","18487.0","31.3003","SA Water","","0","1","829.0","1.0","836.0","1.0","908.0","1.0","846.0","1.0","1255","65260","74562.0","472.63","787.03","1160.23","1343.83","1160.23","0.015561","0.010555","0.015561","0.018023","Low","Moderate","25.7","1.6536","Population","-0.1997781387275034","1.56","1.56","1.8","1.06","165.36","3","4","0"
"402041171","Mawson Lakes - Globe Derby Park","Salisbury","Adelaide - North","13855.0","9.6165","SA Water","","0","1","1033.0","7.0","1026.0","7.0","997.0","5.0","1046.0","7.0","1913","99476","113656.0","472.63","787.03","1160.23","1343.83","1160.23","0.010208","0.006925","0.010208","0.011824","Low","Low","4.8","0.4387","IRSAD (Adv/Disadv)","-0.0820804123311216","1.02","1.02","1.18","0.69","43.87","4","4","0"
