SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,provider_type,is_metro,price_increase_pct,scenario_label,baseline_tier_abs,baseline_tier_rel,baseline_tier_order,burden_tier_abs,burden_tier_rel,median_hhd_inc_annual_adj,sim_annual_bill,sim_burden_ratio,sim_burden_pct,sim_tier_abs,sim_tier_order,tier_shift,tier_shifted
404021102,The Parks,Port Adelaide - West,Adelaide - West,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,77058.0,1160.23,0.015057,1.5057,Low,4,0.0,0
404021103,Torrens Island,Port Adelaide - West,Adelaide - West,SA Water,1,0.0,Baseline,Moderate,Critical,3,Moderate,Critical,44500.0,1160.23,0.026073,2.6073,Moderate,3,0.0,0
404031104,Adelaide Airport,West Torrens,Adelaide - West,SA Water,1,0.0,Baseline,Unknown,Unknown,5,Unknown,Unknown,,1160.23,,,Unknown,5,,0
404031105,Fulham,West Torrens,Adelaide - West,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,104150.0,1160.23,0.01114,1.114,Low,4,0.0,0
404031106,Lockleys,West Torrens,Adelaide - West,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,97139.0,1160.23,0.011944,1.1944,Low,4,0.0,0
404031107,Plympton,West Torrens,Adelaide - West,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,92148.0,1160.23,0.012591,1.2591,Low,4,0.0,0
404031108,Richmond (SA),West Torrens,Adelaide - West,SA Water,1,0.0,Baseline,Low,Moderate,4,Low,Moderate,92386.0,1160.23,0.012559,1.2559,Low,4,0.0,0
404031109,West Beach,West Torrens,Adelaide - West,SA Water,1,0.0,Baseline,Low,Low,4,Low,Low,103734.0,1160.23,0.011185,1.1185,Low,4,0.0,0
405011110,Barossa - Angaston,Barossa,Barossa - Yorke - Mid North,SA Water,0,0.0,Baseline,Low,Moderate,4,Low,Moderate,85613.0,1343.83,0.015697,1.5697,Low,4,0.0,0
405011111,Light,Barossa,Barossa - Yorke - Mid North,SA Water,0,0.0,Baseline,Low,Moderate,4,Low,Moderate,91732.0,1343.83,0.01465,1.465,Low,4,0.0,0
405011112,Lyndoch,Barossa,Barossa - Yorke - Mid North,SA Water,0,0.0,Baseline,Low,Moderate,4,Low,Moderate,108546.0,1343.83,0.01238,1.238,Low,4,0.0,0
405011113,Mallala,Barossa,Barossa - Yorke - Mid North,SA Water,0,0.0,Baseline,Low,Moderate,4,Low,Moderate,81335.0,1343.83,0.016522,1.6522,Low,4,0.0,0
405011114,Nuriootpa,Barossa,Barossa - Yorke - Mid North,SA Water,0,0.0,Baseline,Low,Moderate,4,Low,Moderate,78781.0,1343.83,0.017058,1.7058,Low,4,0.0,0
405011115,Tanunda,Barossa,Barossa - Yorke - Mid North,SA Water,0,0.0,Baseline,Low,Moderate,4,Low,Moderate,85910.0,1343.83,0.015642,1.5642,Low,4,0.0,0
405021116,Clare,Lower North,Barossa - Yorke - Mid North,SA Water,0,0.0,Baseline,Low,Moderate,4,Low,Moderate,81276.0,1343.83,0.016534,1.6534,Low,4,0.0,0
405021117,Gilbert Valley,Lower North,Barossa - Yorke - Mid North,SA Water,0,0.0,Baseline,Low,High,4,Low,High,74681.0,1343.83,0.017994,1.7994,Low,4,0.0,0
405021118,Goyder,Lower North,Barossa - Yorke - Mid North,SA Water,0,0.0,Baseline,Moderate,Critical,3,Moderate,Critical,54481.0,1343.83,0.024666,2.4666,Moderate,3,0.0,0
405021119,Wakefield - Barunga West,Lower North,Barossa - Yorke - Mid North,SA Water,0,0.0,Baseline,Moderate,High,3,Moderate,High,64878.0,1343.83,0.020713,2.0713,Moderate,3,0.0,0
405031120,Jamestown,Mid North,Barossa - Yorke - Mid North,SA Water,0,0.0,Baseline,Low,High,4,Low,High,68027.0,1343.83,0.019754,1.9754,Low,4,0.0,0
405031121,Peterborough - Mount Remarkable,Mid North,Barossa - Yorke - Mid North,SA Water,0,0.0,Baseline,Moderate,Critical,3,Moderate,Critical,55313.0,1343.83,0.024295,2.4295,Moderate,3,0.0,0
405031122,Port Pirie,Mid North,Barossa - Yorke - Mid North,SA Water,0,0.0,Baseline,Moderate,Critical,3,Moderate,Critical,62026.0,1343.83,0.021666,2.1666,Moderate,3,0.0,0
405031123,Port Pirie Surrounds,Mid North,Barossa - Yorke - Mid North,SA Water,0,0.0,Baseline,Low,High,4,Low,High,68027.0,1343.83,0.019754,1.9754,Low,4,0.0,0
405041124,Kadina,Yorke Peninsula,Barossa - Yorke - Mid North,SA Water,0,0.0,Baseline,Low,High,4,Low,High,68621.0,1343.83,0.019583,1.9583,Low,4,0.0,0
405041125,Moonta,Yorke Peninsula,Barossa - Yorke - Mid North,SA Water,0,0.0,Baseline,Moderate,Critical,3,Moderate,Critical,57333.0,1343.83,0.023439,2.3439,Moderate,3,0.0,0
405041126,Wallaroo,Yorke Peninsula,Barossa - Yorke - Mid North,SA Water,0,0.0,Baseline,Moderate,Critical,3,Moderate,Critical,54422.0,1343.83,0.024693,2.4693,Moderate,3,0.0,0
405041127,Yorke Peninsula - North,Yorke Peninsula,Barossa - Yorke - Mid North,SA Water,0,0.0,Baseline,Moderate,Critical,3,Moderate,Critical,59590.0,1343.83,0.022551,2.2551,Moderate,3,0.0,0
405041128,Yorke Peninsula - South,Yorke Peninsula,Barossa - Yorke - Mid North,SA Water,0,0.0,Baseline,Moderate,Critical,3,Moderate,Critical,52936.0,1343.83,0.025386,2.5386,Moderate,3,0.0,0
406011129,Ceduna,Eyre Peninsula and South West,South Australia - Outback,SA Water,0,0.0,Baseline,Low,Moderate,4,Low,Moderate,83534.0,1343.83,0.016087,1.6087,Low,4,0.0,0
406011130,Eyre Peninsula,Eyre Peninsula and South West,South Australia - Outback,SA Water,0,0.0,Baseline,Low,Moderate,4,Low,Moderate,77711.0,1343.83,0.017293,1.7293,Low,4,0.0,0
406011131,Kimba - Cleve - Franklin Harbour,Eyre Peninsula and South West,South Australia - Outback,SA Water,0,0.0,Baseline,Low,High,4,Low,High,69869.0,1343.83,0.019234,1.9234,Low,4,0.0,0
406011132,Le Hunte - Elliston,Eyre Peninsula and South West,South Australia - Outback,SA Water,0,0.0,Baseline,Low,High,4,Low,High,73374.0,1343.83,0.018315,1.8315,Low,4,0.0,0
406011133,Port Lincoln,Eyre Peninsula and South West,South Australia - Outback,SA Water,0,0.0,Baseline,Low,Moderate,4,Low,Moderate,77295.0,1343.83,0.017386,1.7386,Low,4,0.0,0
406011134,West Coast (SA),Eyre Peninsula and South West,South Australia - Outback,SA Water,0,0.0,Baseline,Low,High,4,Low,High,68205.0,1343.83,0.019703,1.9703,Low,4,0.0,0
406011135,Western,Eyre Peninsula and South West,South Australia - Outback,SA Water,0,0.0,Baseline,Low,Moderate,4,Low,Moderate,77949.0,1343.83,0.01724,1.724,Low,4,0.0,0
406011136,Whyalla,Eyre Peninsula and South West,South Australia - Outback,SA Water,0,0.0,Baseline,Low,High,4,Low,High,70582.0,1343.83,0.019039,1.9039,Low,4,0.0,0
406011137,Whyalla - North,Eyre Peninsula and South West,South Australia - Outback,SA Water,0,0.0,Baseline,Unknown,Unknown,5,Unknown,Unknown,,1343.83,,,Unknown,5,,0
406021138,APY Lands,Outback - North and East,South Australia - Outback,SA Water,0,0.0,Baseline,Low,High,4,Low,High,75216.0,1343.83,0.017866,1.7866,Low,4,0.0,0
