price_increase_pct,scenario_label,SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,provider_type,is_metro,burden_tier_abs,burden_tier_rel,median_hhd_inc_annual_adj,sim_annual_bill,sim_burden_ratio,sim_tier_abs,tier_shift,sim_burden_pct,tier_shifted,sim_tier_order
0.0,Baseline,405041126,Wallaroo,Yorke Peninsula,Barossa - Yorke - Mid North,SA Water,False,Moderate,Critical,54422.0,1343.83,0.024693,Moderate,0.0,2.4693,0,3
0.0,Baseline,405041127,Yorke Peninsula - North,Yorke Peninsula,Barossa - Yorke - Mid North,SA Water,False,Moderate,Critical,59590.0,1343.83,0.022551,Moderate,0.0,2.2551,0,3
0.0,Baseline,405041128,Yorke Peninsula - South,Yorke Peninsula,Barossa - Yorke - Mid North,SA Water,False,Moderate,Critical,52936.0,1343.83,0.025386,Moderate,0.0,2.5386,0,3
0.0,Baseline,406011129,Ceduna,Eyre Peninsula and South West,South Australia - Outback,SA Water,False,Low,Moderate,83534.0,1343.83,0.016087,Low,0.0,1.6087,0,4
0.0,Baseline,406011130,Eyre Peninsula,Eyre Peninsula and South West,South Australia - Outback,SA Water,False,Low,Moderate,77711.0,1343.83,0.017293,Low,0.0,1.7293,0,4
0.0,Baseline,406011131,Kimba - Cleve - Franklin Harbour,Eyre Peninsula and South West,South Australia - Outback,SA Water,False,Low,High,69869.0,1343.83,0.019234,Low,0.0,1.9234,0,4
0.0,Baseline,406011132,Le Hunte - Elliston,Eyre Peninsula and South West,South Australia - Outback,SA Water,False,Low,High,73374.0,1343.83,0.018315,Low,0.0,1.8315,0,4
0.0,Baseline,406011133,Port Lincoln,Eyre Peninsula and South West,South Australia - Outback,SA Water,False,Low,Moderate,77295.0,1343.83,0.017386,Low,0.0,1.7386,0,4
0.0,Baseline,406011134,West Coast (SA),Eyre Peninsula and South West,South Australia - Outback,SA Water,False,Low,High,68205.0,1343.83,0.019703,Low,0.0,1.9703,0,4
0.0,Baseline,406011135,Western,Eyre Peninsula and South West,South Australia - Outback,SA Water,False,Low,Moderate,77949.0,1343.83,0.01724,Low,0.0,1.724,0,4
0.0,Baseline,406011136,Whyalla,Eyre Peninsula and South West,South Australia - Outback,SA Water,False,Low,High,70582.0,1343.83,0.019039,Low,0.0,1.9039,0,4
0.0,Baseline,406011137,Whyalla - North,Eyre Peninsula and South West,South Australia - Outback,SA Water,False,Unknown,Unknown,,1343.83,,Unknown,,,0,5
0.0,Baseline,406021138,APY Lands,Outback - North and East,South Australia - Outback,SA Water,False,Low,High,75216.0,1343.83,0.017866,Low,0.0,1.7866,0,4
0.0,Baseline,406021139,Coober Pedy,Outback - North and East,South Australia - Outback,Council,False,Unknown,Unknown,45391.0,,,Unknown,,,0,5
0.0,Baseline,406021140,Quorn - Lake Gilles,Outback - North and East,South Australia - Outback,SA Water,False,Moderate,High,62205.0,1343.83,0.021603,Moderate,0.0,2.1603,0,3
0.0,Baseline,406021141,Outback,Outback - North and East,South Australia - Outback,SA Water,False,Low,High,72126.0,1343.83,0.018632,Low,0.0,1.8632,0,4
0.0,Baseline,406021142,Port Augusta,Outback - North and East,South Australia - Outback,SA Water,False,Low,Moderate,75869.0,1343.83,0.017713,Low,0.0,1.7713,0,4
0.0,Baseline,406021143,Roxby Downs,Outback - North and East,South Australia - Outback,SA Water,False,Low,Low,186554.0,1343.83,0.007203,Low,0.0,0.7203,0,4
0.0,Baseline,407011144,Goolwa - Port Elliot,Fleurieu - Kangaroo Island,South Australia - South East,SA Water,False,Moderate,Critical,57630.0,1343.83,0.023318,Moderate,0.0,2.3318,0,3
0.0,Baseline,407011145,Kangaroo Island,Fleurieu - Kangaroo Island,South Australia - South East,SA Water,False,Moderate,High,67017.0,1343.83,0.020052,Moderate,0.0,2.0052,0,3
0.0,Baseline,407011146,Strathalbyn,Fleurieu - Kangaroo Island,South Australia - South East,SA Water,False,Low,Moderate,75869.0,1343.83,0.017713,Low,0.0,1.7713,0,4
0.0,Baseline,407011147,Strathalbyn Surrounds,Fleurieu - Kangaroo Island,South Australia - South East,SA Water,False,Low,Moderate,87871.0,1343.83,0.015293,Low,0.0,1.5293,0,4
0.0,Baseline,407011148,Victor Harbor,Fleurieu - Kangaroo Island,South Australia - South East,SA Water,False,Moderate,Critical,58046.0,1343.83,0.023151,Moderate,0.0,2.3151,0,3
0.0,Baseline,407011149,Yankalilla,Fleurieu - Kangaroo Island,South Australia - South East,SA Water,False,Moderate,High,64284.0,1343.83,0.020905,Moderate,0.0,2.0905,0,3
0.0,Baseline,407021150,Grant,Limestone Coast,South Australia - South East,SA Water,False,Low,Moderate,93990.0,1343.83,0.014298,Low,0.0,1.4298,0,4
