SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,population,AREASQKM21,provider_type,provider_note,is_provider_confirmed,is_metro,irsd_score,irsd_decile,irsad_score,irsad_decile,ier_score,ier_decile,ieo_score,ieo_decile,median_hhd_inc_weekly_2021,median_hhd_inc_annual_2021,median_hhd_inc_annual_adj,bill_usage_only,bill_usage_supply,bill_owner_metro,bill_owner_country,bill_owner_blended,water_cost_burden_ratio,burden_ratio_renter,burden_ratio_owner_metro,burden_ratio_owner_country,burden_tier_abs,burden_tier_rel,estimated_hardship_need,hardship_priority_score,water_stress_index,stress_pct_rank,stress_tier
402041042,Parafield,Salisbury,Adelaide - North,,4.6289,SA Water,,False,True,,,,,,,,,0,0,,472.63,787.03,1160.23,1343.83,1160.23,,,,,Unknown,Unknown,,,,0.9744,Critical
402041043,Parafield Gardens,Salisbury,Adelaide - North,18467.0,7.0272,SA Water,,False,True,880.0,1.0,884.0,1.0,946.0,3.0,891.0,2.0,1384,71968,82226.0,472.63,787.03,1160.23,1343.83,1160.23,0.01411,0.009572,0.01411,0.016343,Low,Moderate,25.6,1.42,2376.3636,0.7244,High
402041044,Paralowie,Salisbury,Adelaide - North,17816.0,8.3213,SA Water,,False,True,888.0,1.0,878.0,1.0,959.0,3.0,867.0,1.0,1458,75816,86623.0,472.63,787.03,1160.23,1343.83,1160.23,0.013394,0.009086,0.013394,0.015514,Low,Moderate,24.7,1.3047,2344.1502,0.6449,High
402041046,Salisbury,Salisbury,Adelaide - North,18594.0,10.7696,SA Water,,False,True,803.0,1.0,827.0,1.0,876.0,1.0,851.0,1.0,1071,55692,63630.0,472.63,787.03,1160.23,1343.83,1160.23,0.018234,0.012369,0.018234,0.021119,Low,High,51.6,2.1969,2566.2557,0.892,Critical
402041047,Salisbury East,Salisbury,Adelaide - North,18454.0,14.8505,SA Water,,False,True,940.0,2.0,916.0,2.0,973.0,4.0,905.0,2.0,1339,69628,79553.0,472.63,787.03,1160.23,1343.83,1160.23,0.014584,0.009893,0.014584,0.016892,Low,Moderate,25.6,1.4963,2310.4214,0.5256,High
402041048,Salisbury North,Salisbury,Adelaide - North,18487.0,31.3003,SA Water,,False,True,829.0,1.0,836.0,1.0,908.0,1.0,846.0,1.0,1255,65260,74562.0,472.63,787.03,1160.23,1343.83,1160.23,0.015561,0.010555,0.015561,0.018023,Low,Moderate,25.7,1.6536,2475.815,0.8295,Critical
402041171,Mawson Lakes - Globe Derby Park,Salisbury,Adelaide - North,13855.0,9.6165,SA Water,,False,True,1033.0,7.0,1026.0,7.0,997.0,5.0,1046.0,7.0,1913,99476,113656.0,472.63,787.03,1160.23,1343.83,1160.23,0.010208,0.006925,0.010208,0.011824,Low,Low,4.8,0.4387,2254.8044,0.3892,Moderate
402041172,Pooraka - Cavan,Salisbury,Adelaide - North,8080.0,7.4904,SA Water,,False,True,911.0,2.0,906.0,2.0,932.0,2.0,924.0,3.0,1263,65676,75038.0,472.63,787.03,1160.23,1343.83,1160.23,0.015462,0.010488,0.015462,0.017909,Low,Moderate,11.2,1.6376,2412.0601,0.7699,Critical
402051049,Golden Grove,Tea Tree Gully,Adelaide - North,10406.0,26.6144,SA Water,,False,True,1043.0,7.0,1016.0,6.0,1035.0,7.0,1004.0,6.0,1674,87048,99456.0,472.63,787.03,1160.23,1343.83,1160.23,0.011666,0.007913,0.011666,0.013512,Low,Moderate,14.4,1.0266,2172.0193,0.1818,Low
402051050,Greenwith,Tea Tree Gully,Adelaide - North,9017.0,6.0371,SA Water,,False,True,1039.0,7.0,1004.0,6.0,1033.0,7.0,991.0,6.0,1937,100724,115081.0,472.63,787.03,1160.23,1343.83,1160.23,0.010082,0.006839,0.010082,0.011677,Low,Low,3.1,0.4308,2176.2246,0.196,Low
