SA2_CODE21,SA2_NAME21,burden_tier_rel,burden_tier_abs,top_critical_driver,top_critical_driver_shap,shap_irsd_score,shap_irsad_score,shap_ier_score,shap_ieo_score,shap_population,shap_AREASQKM21,irsd_score,irsad_score,ier_score,ieo_score,population,AREASQKM21
403041082,Lonsdale,Critical,Moderate,IEO (Education/Occ),0.10434764733812456,0.029790790386355563,0.018725332224556294,0.031016209061853997,0.10434764733812456,0.07924173278870271,0.08091387904748784,990.0,959.0,983.0,882.0,23.0,9.8401
403041083,McLaren Vale,Moderate,Low,IER (Econ Resources),-0.07650722683895346,-0.04779254877838603,-0.07263951721008394,-0.07650722683895346,-0.060054281493075415,0.003236010154441954,0.004459821679804597,1047.0,1010.0,1048.0,992.0,7344.0,119.5749
403041084,Morphett Vale - East,Moderate,Low,Area (km²),-0.12043312284055965,0.00814599034804225,0.0043547338230665155,-0.005970769495449006,-0.013984844875880736,-0.09140972944547165,-0.12043312284055965,950.0,908.0,953.0,892.0,13863.0,7.6836
403041085,Morphett Vale - West,Moderate,Low,Area (km²),-0.17757624513185757,0.015116147937457653,0.023566884228059578,-0.009726218940967368,0.03443392231695061,-0.06177889956256175,-0.17757624513185757,912.0,876.0,923.0,875.0,10138.0,5.0775
403041086,Reynella,Moderate,Low,IRSAD (Adv/Disadv),-0.053741970378535384,-0.0029533452229703,-0.053741970378535384,-0.0008902847535802202,-0.04354452287826368,-0.007694103793372614,-0.05047351545953015,990.0,944.0,983.0,931.0,10286.0,7.7053
403041088,Willunga,Low,Low,IRSAD (Adv/Disadv),-0.07381647191164689,-0.06332498252934195,-0.07381647191164689,-0.07233306944145214,-0.05555276364485785,0.010002470799828814,0.005727074241217745,1056.0,1026.0,1065.0,1028.0,3604.0,85.1868
403041089,Woodcroft,Moderate,Low,IER (Econ Resources),-0.09062741122039214,-0.03768926201692771,-0.06749097575299408,-0.09062741122039214,-0.023149644141911188,-0.017110966526823042,0.0034371838394625796,1033.0,985.0,1030.0,954.0,11552.0,13.5274
403041177,Seaford - Seaford Meadows,Moderate,Low,Population,-0.05937100737528634,0.010109065099620715,-0.04574047134977753,-0.04270987667716085,-0.04335567626804247,-0.05937100737528634,0.011770224084394109,991.0,951.0,987.0,942.0,14177.0,11.4713
403041178,Seaford Rise - Moana,Moderate,Low,IER (Econ Resources),-0.11383652677288802,-0.012895306581178162,-0.02832473826473523,-0.11383652677288802,-0.03078959589562229,-0.010430426306624803,0.02031218466812945,1002.0,962.0,1008.0,950.0,10629.0,12.1052
404011090,Beverley,Moderate,Low,IEO (Education/Occ),-0.09798286886915861,-0.007402861843801974,-0.06924647741811729,0.008287378126782718,-0.09798286886915861,0.0071562205652910705,-0.04010913304724836,1006.0,987.0,970.0,995.0,8897.0,4.2061
404011091,Flinders Park,Moderate,Low,IEO (Education/Occ),-0.08554331477941084,-0.008535311582887686,-0.0628875457223161,0.0004996391850521848,-0.08554331477941084,-0.054362847939231816,-0.0384683616474581,1004.0,989.0,973.0,993.0,16361.0,6.3972
404011092,Henley Beach,Low,Low,IRSAD (Adv/Disadv),-0.05777912721255712,-0.04814860771114114,-0.05777912721255712,-0.049166677434368984,-0.04364554721339541,-0.02217431926387505,-0.02838346365091473,1049.0,1043.0,1015.0,1043.0,15634.0,5.9563
404011093,Hindmarsh - Brompton,Moderate,Low,IEO (Education/Occ),-0.0769461564333254,0.004666578311167551,-0.0687661253883246,-0.0023320456120592614,-0.0769461564333254,-0.07064495216074924,-0.03527504120296134,995.0,1004.0,936.0,1049.0,19076.0,7.896
404011094,Royal Park - Hendon - Albert Park,Moderate,Low,Area (km²),-0.06868861035599469,0.009311330956559205,-0.056723351402295445,-0.01344844801853362,-0.043121855719938686,-0.01329347461271586,-0.06868861035599469,958.0,940.0,937.0,946.0,6499.0,3.246
404011095,Seaton - Grange,Moderate,Low,IEO (Education/Occ),-0.08340148829556142,0.01235796665731738,-0.06130370862983743,0.0065787142701494725,-0.08340148829556142,-0.07289124172701447,-0.04063798476130582,991.0,979.0,966.0,986.0,17501.0,8.2533
404011096,West Lakes,Moderate,Low,IRSAD (Adv/Disadv),-0.07114552889500902,-0.013205174077643144,-0.07114552889500902,-0.055124990336604535,-0.06068878066542413,-0.031693396027832624,-0.01743987248373884,1027.0,1011.0,1003.0,1006.0,15205.0,8.5515
404011097,Woodville - Cheltenham,Moderate,Low,Population,-0.10542608210959842,0.01162198978676661,-0.02931347783720264,-0.014479986817699398,-0.0659877636744077,-0.10542608210959842,-0.009045755167443938,956.0,955.0,942.0,976.0,19269.0,8.8122
404021099,Largs Bay - Semaphore,Moderate,Low,IEO (Education/Occ),-0.08720775305935638,-0.007713426066103291,-0.07030093769023639,0.0004115872142932772,-0.08720775305935638,-0.04001027992630927,-0.04114359962520697,1009.0,993.0,974.0,1001.0,14807.0,6.7241
404021100,North Haven,Moderate,Low,Population,-0.0623242778446271,-0.014474261044441734,-0.052108208527999314,-0.01177597869723836,-0.04908832833165775,-0.0623242778446271,-0.012860021373621258,969.0,942.0,957.0,934.0,14800.0,14.8433
