SA2_CODE21,SA2_NAME21,SA3_NAME21,SA4_NAME21,population,AREASQKM21,irsd_score,irsd_decile,irsad_score,irsad_decile,ier_score,ier_decile,ieo_score,ieo_decile,estimated_annual_water_bill,water_stress_index,stress_pct_rank,stress_tier
405011112,Lyndoch,Barossa,Barossa - Yorke - Mid North,6544.0,175.7742,1044.0,7.0,1001.0,6.0,1064.0,9.0,971.0,5.0,2248.04,2112.8195,0.0852,Low
405011113,Mallala,Barossa,Barossa - Yorke - Mid North,3335.0,847.8696,946.0,2.0,914.0,2.0,987.0,5.0,881.0,1.0,2248.04,2277.6494,0.4517,Moderate
405011114,Nuriootpa,Barossa,Barossa - Yorke - Mid North,7157.0,50.6409,985.0,4.0,941.0,3.0,995.0,5.0,914.0,2.0,2248.04,2259.3367,0.4006,Moderate
405011115,Tanunda,Barossa,Barossa - Yorke - Mid North,4666.0,17.3326,1029.0,6.0,996.0,5.0,1009.0,6.0,984.0,5.0,2248.04,2227.9881,0.3068,Moderate
405021116,Clare,Lower North,Barossa - Yorke - Mid North,4096.0,74.203,1008.0,5.0,970.0,4.0,985.0,4.0,957.0,4.0,2248.04,2282.2741,0.4602,Moderate
405021117,Gilbert Valley,Lower North,Barossa - Yorke - Mid North,5016.0,1675.3597,989.0,4.0,957.0,4.0,1001.0,5.0,963.0,5.0,2248.04,2245.7942,0.3608,Moderate
405021118,Goyder,Lower North,Barossa - Yorke - Mid North,4079.0,6748.1529,947.0,2.0,914.0,2.0,958.0,3.0,920.0,3.0,2248.04,2346.5971,0.6562,High
405021119,Wakefield - Barunga West,Lower North,Barossa - Yorke - Mid North,9500.0,5231.2432,930.0,2.0,907.0,2.0,960.0,3.0,908.0,2.0,2248.04,2341.7083,0.6307,High
405031120,Jamestown,Mid North,Barossa - Yorke - Mid North,4596.0,3107.037,980.0,4.0,949.0,3.0,976.0,4.0,958.0,4.0,2248.04,2303.3197,0.5,High
405031121,Peterborough - Mount Remarkable,Mid North,Barossa - Yorke - Mid North,5341.0,9643.884,917.0,2.0,903.0,2.0,949.0,3.0,922.0,3.0,2248.04,2368.8514,0.7159,High
405031122,Port Pirie,Mid North,Barossa - Yorke - Mid North,13896.0,75.2928,870.0,1.0,853.0,1.0,884.0,1.0,851.0,1.0,2248.04,2543.0317,0.875,Critical
405031123,Port Pirie Surrounds,Mid North,Barossa - Yorke - Mid North,3335.0,1583.2661,967.0,3.0,932.0,3.0,974.0,4.0,926.0,3.0,2248.04,2308.0493,0.5085,High
405041124,Kadina,Yorke Peninsula,Barossa - Yorke - Mid North,5414.0,394.1203,937.0,2.0,897.0,2.0,958.0,3.0,877.0,1.0,2248.04,2346.5971,0.6562,High
405041125,Moonta,Yorke Peninsula,Barossa - Yorke - Mid North,5217.0,271.9202,938.0,2.0,904.0,2.0,965.0,3.0,884.0,1.0,2248.04,2329.5751,0.5881,High
405041126,Wallaroo,Yorke Peninsula,Barossa - Yorke - Mid North,4426.0,146.5314,891.0,1.0,871.0,1.0,923.0,2.0,856.0,1.0,2248.04,2435.5796,0.8097,Critical
405041127,Yorke Peninsula - North,Yorke Peninsula,Barossa - Yorke - Mid North,7458.0,3654.3884,955.0,3.0,921.0,2.0,961.0,3.0,915.0,2.0,2248.04,2339.2716,0.6193,High
405041128,Yorke Peninsula - South,Yorke Peninsula,Barossa - Yorke - Mid North,4142.0,2273.834,946.0,2.0,911.0,2.0,962.0,3.0,900.0,2.0,2248.04,2336.8399,0.6108,High
406011129,Ceduna,Eyre Peninsula and South West,South Australia - Outback,2697.0,413.3374,946.0,2.0,924.0,2.0,929.0,2.0,918.0,2.0,2248.04,2419.8493,0.7841,Critical
406011130,Eyre Peninsula,Eyre Peninsula and South West,South Australia - Outback,6824.0,7228.3655,1008.0,5.0,965.0,4.0,1000.0,5.0,955.0,4.0,2248.04,2248.04,0.3722,Moderate
406011131,Kimba - Cleve - Franklin Harbour,Eyre Peninsula and South West,South Australia - Outback,4201.0,15184.3968,990.0,4.0,953.0,4.0,990.0,5.0,948.0,4.0,2248.04,2270.7475,0.4261,Moderate
406011132,Le Hunte - Elliston,Eyre Peninsula and South West,South Australia - Outback,2122.0,11387.2463,984.0,4.0,961.0,4.0,973.0,4.0,971.0,5.0,2248.04,2310.4214,0.5256,High
406011133,Port Lincoln,Eyre Peninsula and South West,South Australia - Outback,16307.0,136.2831,962.0,3.0,926.0,2.0,953.0,3.0,906.0,2.0,2248.04,2358.9087,0.6818,High
406011134,West Coast (SA),Eyre Peninsula and South West,South Australia - Outback,3646.0,31877.8466,949.0,3.0,934.0,3.0,924.0,2.0,930.0,3.0,2248.04,2432.9437,0.7983,Critical
406011135,Western,Eyre Peninsula and South West,South Australia - Outback,136.0,168946.0226,644.0,1.0,823.0,1.0,641.0,1.0,1043.0,7.0,2248.04,3507.0827,0.9375,Critical
406011136,Whyalla,Eyre Peninsula and South West,South Australia - Outback,21154.0,40.8706,882.0,1.0,868.0,1.0,879.0,1.0,865.0,1.0,2248.04,2557.4972,0.8864,Critical
406011137,Whyalla - North,Eyre Peninsula and South West,South Australia - Outback,,80.449,,,,,,,,,2248.04,,0.9744,Critical
406021138,APY Lands,Outback - North and East,South Australia - Outback,2333.0,102359.1511,496.0,1.0,706.0,1.0,519.0,1.0,889.0,1.0,2248.04,4331.4836,0.9432,Critical
406021139,Coober Pedy,Outback - North and East,South Australia - Outback,1566.0,77.6795,868.0,1.0,868.0,1.0,832.0,1.0,868.0,1.0,2248.04,2701.9712,0.9148,Critical
406021140,Quorn - Lake Gilles,Outback - North and East,South Australia - Outback,2142.0,26107.329,940.0,2.0,914.0,2.0,945.0,3.0,897.0,2.0,2248.04,2378.8783,0.733,High
406021141,Outback,Outback - North and East,South Australia - Outback,2030.0,513391.3333,942.0,2.0,926.0,3.0,901.0,1.0,912.0,2.0,2248.04,2495.0499,0.8466,Critical
406021142,Port Augusta,Outback - North and East,South Australia - Outback,13515.0,253.9025,885.0,1.0,874.0,1.0,889.0,1.0,869.0,1.0,2248.04,2528.7289,0.8636,Critical
406021143,Roxby Downs,Outback - North and East,South Australia - Outback,3976.0,288.3624,1048.0,7.0,1004.0,6.0,1010.0,6.0,919.0,3.0,2248.04,2225.7822,0.3011,Moderate
407011144,Goolwa - Port Elliot,Fleurieu - Kangaroo Island,South Australia - South East,12516.0,180.8689,965.0,3.0,928.0,3.0,971.0,4.0,928.0,3.0,2248.04,2315.1802,0.5426,High
